Gmt time,Open,High,Low,Close,Volume
07.01.2020 03:25:00.000,131.712,131.724,131.712,131.719,202.91
07.01.2020 03:30:00.000,131.720,131.724,131.719,131.721,200.87
07.01.2020 03:35:00.000,131.720,131.727,131.714,131.719,184.93
07.01.2020 03:40:00.000,131.725,131.740,131.725,131.735,181.82
07.01.2020 03:45:00.000,131.736,131.740,131.734,131.737,156.32
07.01.2020 03:50:00.000,131.739,131.755,131.739,131.752,153.42
07.01.2020 03:55:00.000,131.751,131.751,131.730,131.735,289.64
07.01.2020 04:00:00.000,131.735,131.750,131.731,131.748,616.33
07.01.2020 04:05:00.000,131.748,131.749,131.730,131.732,524.52
07.01.2020 04:10:00.000,131.732,131.739,131.731,131.733,373.33
07.01.2020 04:15:00.000,131.733,131.735,131.728,131.731,563.09
07.01.2020 04:20:00.000,131.734,131.751,131.731,131.742,270.93
07.01.2020 04:25:00.000,131.741,131.750,131.738,131.740,73.26
07.01.2020 04:30:00.000,131.740,131.741,131.719,131.720,68.65
07.01.2020 04:35:00.000,131.719,131.719,131.691,131.698,217.5
07.01.2020 04:40:00.000,131.698,131.719,131.696,131.718,21.307.999.999.999.900
07.01.2020 04:45:00.000,131.718,131.718,131.707,131.711,222.32
07.01.2020 04:50:00.000,131.710,131.719,131.696,131.699,28.366.999.999.999.900
07.01.2020 04:55:00.000,131.700,131.714,131.699,131.706,50.060.999.999.999.900
07.01.2020 05:00:00.000,131.704,131.712,131.698,131.708,300.85
07.01.2020 05:05:00.000,131.709,131.719,131.708,131.718,9.852.999.999.999.990
07.01.2020 05:10:00.000,131.717,131.719,131.715,131.719,52.830.000.000.000.000
07.01.2020 05:15:00.000,131.719,131.721,131.714,131.720,29.21
07.01.2020 05:20:00.000,131.721,131.723,131.711,131.717,60.68
07.01.2020 05:25:00.000,131.716,131.718,131.709,131.709,51.58
07.01.2020 05:30:00.000,131.709,131.714,131.708,131.710,8.282.000.000.000.000
07.01.2020 05:35:00.000,131.712,131.712,131.690,131.693,98.64
